model,AlnSize,TreeSize,mean_prop,sd_prop
GTR,100,4,0.477446016530249,0.499493557831941
GTR,100,5,0.521958394620719,0.371636470328971
GTR,100,10,0.750930065104557,0.183329329185149
GTR,500,4,0.365804632185287,0.481657475068236
GTR,500,5,0.345698580638279,0.349328253748332
GTR,500,10,0.607527602040816,0.203713094708487
GTR,1000,4,0.306666133322667,0.461111854412289
GTR,1000,5,0.318343333333333,0.338170918305308
GTR,1000,10,0.520763367346939,0.203587731542581
GTR,10000,4,0.21748,0.412533818542813
GTR,10000,5,0.241235,0.304269863841568
GTR,10000,10,0.338592653061224,0.16841023700933
JC,100,4,0.473961878829136,0.499324055285372
JC,100,5,0.526715850659513,0.366819947533784
JC,100,10,0.726364915840311,0.186990975098934
JC,500,4,0.382006740471833,0.485880594046215
JC,500,5,0.402049225414796,0.357192050446293
JC,500,10,0.636284234693878,0.190318980103505
JC,1000,4,0.334873394935797,0.471948547771244
JC,1000,5,0.359756930902642,0.34669801592288
JC,1000,10,0.590031530612245,0.190335191496609
JC,10000,4,0.22479,0.417446042635435
JC,10000,5,0.256355,0.298253098041526
JC,10000,10,0.443830663265306,0.183354243339051
sumResults.csv,,,,
